Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
pork,bottled water,yogurt,,,,,,,
domestic eggs,,,,,,,,,
fruit/vegetable juice,,,,,,,,,
frozen vegetables,hamburger meat,fruit/vegetable juice,chicken,other vegetables,,,,,
detergent,pip fruit,whipped/sour cream,soda,cream cheese,domestic eggs,bottled water,pork,tropical fruit,fruit/vegetable juice
whole milk,frozen vegetables,napkins,rolls/buns,whipped/sour cream,hamburger meat,coffee,brown bread,butter,shopping bags
bottled water,cream cheese,,,,,,,,
whipped/sour cream,tropical fruit,fruit/vegetable juice,yogurt,other vegetables,,,,,
bottled water,fruit/vegetable juice,whole milk,hamburger meat,pork,tropical fruit,,,,
tropical fruit,domestic eggs,pip fruit,napkins,bottled water,citrus fruit,,,,
ice cream,cream cheese,domestic eggs,sausage,root vegetables,tropical fruit,hamburger meat,fruit/vegetable juice,citrus fruit,bottled water
bottled water,napkins,,,,,,,,
citrus fruit,hamburger meat,whole milk,coffee,whipped/sour cream,,,,,
root vegetables,yogurt,coffee,curd,frozen vegetables,pastry,hamburger meat,margarine,,
frozen vegetables,whole milk,sausage,napkins,pip fruit,,,,,
hamburger meat,pip fruit,newspapers,citrus fruit,shopping bags,rolls/buns,whole milk,root vegetables,,
root vegetables,napkins,cream cheese,ice cream,brown bread,,,,,
cream cheese,coffee,,,,,,,,
margarine,pastry,bottled water,other vegetables,,,,,,
rolls/buns,pip fruit,,,,,,,,
detergent,domestic eggs,sausage,napkins,whipped/sour cream,hamburger meat,other vegetables,,,
ice cream,shopping bags,butter,whole milk,tropical fruit,napkins,cream cheese,other vegetables,detergent,
shopping bags,brown bread,root vegetables,,,,,,,
newspapers,citrus fruit,bottled water,domestic eggs,root vegetables,brown bread,whipped/sour cream,margarine,,
bottled water,whole milk,detergent,,,,,,,
sausage,frozen vegetables,soda,hamburger meat,,,,,,
curd,rolls/buns,pork,ice cream,detergent,whole milk,,,,
tropical fruit,citrus fruit,hamburger meat,detergent,coffee,whipped/sour cream,sausage,yogurt,domestic eggs,whole milk
domestic eggs,,,,,,,,,
hamburger meat,domestic eggs,root vegetables,coffee,detergent,soda,citrus fruit,,,
newspapers,pip fruit,whole milk,domestic eggs,cream cheese,,,,,
whole milk,domestic eggs,citrus fruit,soda,coffee,,,,,
other vegetables,citrus fruit,domestic eggs,fruit/vegetable juice,hamburger meat,root vegetables,chicken,,,
other vegetables,soda,citrus fruit,root vegetables,rolls/buns,pork,whole milk,brown bread,newspapers,coffee
root vegetables,bottled water,pastry,whipped/sour cream,hamburger meat,,,,,
newspapers,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,
napkins,pastry,cream cheese,soda,coffee,shopping bags,yogurt,curd,whole milk,tropical fruit
whipped/sour cream,whole milk,newspapers,other vegetables,hamburger meat,butter,shopping bags,brown bread,fruit/vegetable juice,frozen vegetables
cream cheese,sausage,citrus fruit,,,,,,,
napkins,pork,,,,,,,,
pip fruit,detergent,domestic eggs,curd,bottled water,rolls/buns,sausage,whipped/sour cream,coffee,other vegetables
whole milk,pastry,frozen vegetables,cream cheese,root vegetables,tropical fruit,ice cream,yogurt,margarine,
shopping bags,soda,domestic eggs,frozen vegetables,detergent,,,,,
pork,shopping bags,brown bread,,,,,,,
whipped/sour cream,sausage,margarine,curd,pork,tropical fruit,butter,detergent,root vegetables,newspapers
